Terrain_Aspect,Burn_Treatment,Vegetation_Type,Thermo_Mid_Max,Thermo_Low_Max,Soil_Texture,Slope_Position,Horizon_Wet_Mass_g,Moisture_Index,Horizon_Dry_Mass_g,Horizon_Thickness_cm,Core_Wet_Mass_g,Core_Dry_Mass_g,Soil_pH,Total_Carbon_Percentage,Dry_Horizon_Mass_Loss_g,Horizon_Thickness_Loss_cm,Latitude,Leading_Vegetation_Species,Longitude
NW,wet,Pinus_contorta,34.0204,26.1759,sandy loam,Middle,264.9,0.043620502,253.3449291,5.5,309.43,296.6621073,3.87,2.373041391,0,0,59.472671,Pinus_contorta,-113.132615
NW,wet,Pinus_contorta,26.1778,27.8796,sandy loam,Middle,50.62,0.350036823,32.90113602,5.5,229.78,199.9626877,3.76,40.36032867,10.66071319,1.2,59.472564,Pinus_contorta,-112.8338213
NW,dry,Betula_papyrifera,346.8191,75.3435,sandy loam,Middle,218.3969402,0.061181435,205.035102,4.5,262.83,244.0138042,3.86,0.992093503,0,0,59.471973,Betula_papyrifera,-112.7987112
West,dry,Picea_glauca,131.0088,42.6562,clay loam,Upper,15.69980651,0.080751174,14.4320287,4,364.69,355.6737721,7.25,26.2627449,9.264482407,1.5,59.491889,Picea_glauca,-113.4062003
West,dry,Populus_tremuloides,131.0088,42.6562,clay loam,Upper,15.69980651,0.080751174,14.4320287,4,364.69,355.6737721,7.25,26.2627449,9.264482407,1.5,59.481124,Populus_tremuloides,-112.921344
NW,dry,Pinus_contorta,346.8191,75.3435,sandy loam,Middle,44.43305985,0.122754491,38.9787022,5.5,262.83,244.0138042,7.65,29.27008247,33.4429954,1.8,59.495687,Pinus_contorta,-112.6241498
NW,wet,Populus_tremuloides,34.0204,26.1759,sandy loam,Middle,264.9,0.043620502,253.3449291,5.5,309.43,296.6621073,3.87,2.373041391,0,0,59.480854,Populus_tremuloides,-113.1211098
SSE,dry,Betula_papyrifera,298.4965,63.9395,sand,Middle,268.7351608,0.011655012,265.6030493,5,303.95,297.290105,5.41,0.843660414,3.613228139,0,59.491979,Betula_papyrifera,-112.736587
West,dry,Abies_lasiocarpa,131.0088,42.6562,clay loam,Upper,348.9901935,0.022202487,341.2417434,6,364.69,355.6737721,4.31,1.025709271,1.276312195,0,60.007984,Abies_lasiocarpa,-112.645493
SSE,dry,Abies_lasiocarpa,298.4965,63.9395,sand,Middle,268.7351608,0.011655012,265.6030493,5,303.95,297.290105,5.41,0.843660414,3.613228139,0,59.471974,Abies_lasiocarpa,-112.8254281
